Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
142,Monday Sep 12,boxscore,NYM,,CHC,L,2,5,,89-53,1,up 1.5,Assad,Bassitt,Hughes,3:09,N,28081,1.00,-,
143,Tuesday Sep 13,boxscore,NYM,,CHC,L,1,4,,89-54,1,up 0.5,Sampson,deGrom,,2:55,N,26435,1.02,--,
144,Wednesday Sep 14,boxscore,NYM,,CHC,L,3,6,,89-55,1,up 0.5,Smyly,Peterson,Leiter,3:14,N,28522,1.19,---,
145,Thursday Sep 15,boxscore,NYM,,PIT,W,7,1,,90-55,1,up 1.0,Carrasco,Brubaker,,2:53,N,25683,1.25,+,
146,Friday Sep 16,boxscore,NYM,,PIT,W,4,3,,91-55,1,up 1.0,Walker,Keller,Díaz,2:39,N,28928,1.17,++,
147,Saturday Sep 17,boxscore,NYM,,PIT,W,5,1,,92-55,1,up 1.0,Bassitt,Wilson,,3:06,N,40111,1.20,+++,
148,Sunday Sep 18,boxscore,NYM,,PIT,W,7,3,,93-55,1,up 1.0,Rodríguez,Stephenson,,3:29,D,36291,1.21,++++,
149,Monday Sep 19,boxscore,NYM,@,MIL,W,7,2,,94-55,1,up 1.0,Scherzer,Burnes,,2:49,N,25671,1.19,+++++,
150,Tuesday Sep 20,boxscore,NYM,@,MIL,W,7,5,,95-55,1,up 1.0,Rodríguez,Rogers,Díaz,3:19,N,26319,1.23,++++++,
151,Wednesday Sep 21,boxscore,NYM,@,MIL,L,0,6,,95-56,1,up 1.0,Gott,Walker,,2:47,D,25204,1.23,-,
152,Friday Sep 23,boxscore,NYM,@,OAK,W,9,2,,96-56,1,up 2.5,Bassitt,Irvin,,2:31,N,18107,1.12,+,
153,Saturday Sep 24,boxscore,NYM,@,OAK,L,4,10,,96-57,1,up 1.5,Waldichuk,deGrom,,2:55,D,16041,.77,-,
154,Sunday Sep 25,boxscore,NYM,@,OAK,W,13,4,,97-57,1,up 1.5,Scherzer,Sears,,3:07,D,13942,1.08,+,
155,Tuesday Sep 27,boxscore,NYM,,MIA,L,4,6,,97-58,1,Tied,López,Carrasco,Floro,3:17,N,29067,1.32,-,
156,Wednesday Sep 28,boxscore,NYM,,MIA,W-wo,5,4,10,98-58,1,up 1.0,Smith,Floro,,3:26,N,28228,1.74,+,
157,Friday Sep 30,boxscore,NYM,@,ATL,L,2,5,,98-59,1,Tied,Fried,deGrom,Jansen,2:54,N,42402,2.56,-,
158,Saturday Oct 1,boxscore,NYM,@,ATL,L,2,4,,98-60,2,1.0,Wright,Scherzer,Jansen,2:54,N,42561,3.62,--,
159,Sunday Oct 2,boxscore,NYM,@,ATL,L,3,5,,98-61,2,2.0,Lee,Bassitt,Jansen,3:21,N,42713,4.11,---,
160,Tuesday Oct 4 (1),boxscore,NYM,,WSN,W,4,2,,99-61,2,1.0,Ottavino,Abbott,Díaz,3:12,N,,.87,+,
161,Tuesday Oct 4 (2),boxscore,NYM,,WSN,W,8,0,,100-61,2,1.0,Nogosek,Espino,,3:09,N,23649,1.59,++,
162,Wednesday Oct 5,boxscore,NYM,,WSN,W,9,2,,101-61,1,Tied,Williams,Fedde,,2:44,D,27298,.03,+++,
